"IntId","StrBanco","IntTransaccion","IntDocumento","DatFecha","StrDocumento","IntNaturaleza","IntValor","IntConciliado","IdSeguridad"
124,"05","01",16865,2017-03-01 00:00:00.000,"0",1,282600.00000,0,EC9139BE-DD9E-45A8-962B-E882CC73D1C3
125,"05","01",16866,2017-03-01 00:00:00.000,"0",1,98800.00000,0,E26277E7-2060-4173-8E38-790B7BDB0E1F
126,"05","01",16867,2017-03-01 00:00:00.000,"0",1,280328.00000,0,E3EC298D-61D8-439F-9DF4-DA550011A8FC
127,"05","01",16868,2017-03-01 00:00:00.000,"0",1,104400.00000,0,"5D709DDA-B4F2-4604-ADEC-7EB8DD722B43"
128,"05","01",16869,2017-03-01 00:00:00.000,"0",1,104400.00000,0,"2144C028-3E12-43D5-8241-D64D9930D386"
129,"05","01",16870,2017-03-01 00:00:00.000,"0",1,69335.00000,0,"9F799DC2-88BF-40C2-8BAA-E7EC9A37A8EB"
130,"05","01",16870,2017-03-01 00:00:00.000,"0",1,107900.00000,0,"1AAC8A5C-A4E0-4F2F-9D84-FF2DAF6564BE"
131,"05","01",16871,2017-03-01 00:00:00.000,"0",1,15000.00000,0,"9AC84EFD-1BAA-43AE-94BC-F263BA5EE6A7"
132,"05","01",16872,2017-03-01 00:00:00.000,"0",1,271682.00000,0,"6C4A3840-6396-4515-89DC-E9CCDB126034"
133,"05","01",16873,2017-03-01 00:00:00.000,"0",1,160000.00000,0,"5135B653-F9F8-44C9-AB5E-633BB3E742C1"
134,"05","01",16874,2017-03-01 00:00:00.000,"0",1,320000.00000,0,EDC75567-EF77-4E9A-BC38-BAB16B1293B8
135,"05","01",16876,2017-03-01 00:00:00.000,"0",1,114900.00000,0,"448BA356-1760-489C-A480-C413E866E384"
136,"05","01",16877,2017-03-01 00:00:00.000,"0",1,104400.00000,0,BCA8EA02-27DF-4FFE-A36B-44EEC2F84ECC
137,"05","01",16878,2017-03-02 00:00:00.000,"0",1,90326.00000,0,"12F23342-8946-4DC1-B3E6-9E5B8E9C4D1F"
138,"05","01",16879,2017-03-02 00:00:00.000,"0",1,99400.00000,0,CA35C367-E288-4AE9-8307-470A6E0304D7
139,"05","01",16880,2017-03-02 00:00:00.000,"0",1,98800.00000,0,"60E14D4F-0454-4DF8-9F57-CFAD70DA8736"
140,"05","01",16882,2017-03-02 00:00:00.000,"0",1,114900.00000,0,"57C287F7-7A0D-41BF-9C87-423ED7CF9F8E"
141,"05","01",16883,2017-03-02 00:00:00.000,"0",1,114900.00000,0,AE8FFD04-6D58-4AB8-942C-D3E008D18CE0
142,"05","01",16884,2017-03-02 00:00:00.000,"0",1,98800.00000,0,"00E64EAE-15F9-4F30-B86E-1D126216AEEC"
